User ID,Age,Gender,Likes and Reactions,Followed Accounts,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Location_Rural,Location_Suburban,Location_Urban,Language_English,Language_Hindi,Language_Mandarin,Language_Spanish,Device Usage_Desktop Only,Device Usage_Mobile + Desktop,Device Usage_Mobile Only,Device Usage_Tablet,Education Level_Bachelor,Education Level_High School,Education Level_Master,Education Level_PhD,Education Level_Technical,Interest_Photography,Interest_DIY Crafts,Interest_Gardening,Interest_Gaming,Interest_Fitness and Wellness,Interest_Reading and Literature,Interest_Gourmet Cooking,Interest_Software Engineering,Interest_Music Production,Interest_Pet Care,Interest_Fashion Modelling,Interest_Data Science,Interest_Digital Marketing,Interest_Eco-Friendly Living,Interest_Investing and Finance,Interest_Travel and Adventure
1,29.5,0,0.5610818476499189,0.36885245901639346,0.8888888888888888,0.09999999999999998,0.772,0.67,0.11494252873563218,30000,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,70.0,1,0.9521880064829821,0.7479508196721312,0.0,0.9571428571428571,0.456,0.43999999999999995,0.3620689655172413,10000,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,49.5,0,0.4734602917341977,0.36270491803278687,0.8888888888888888,0.657142857142857,0.612,0.95,0.43103448275862066,70000,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,39.5,0,0.9198743922204213,0.29098360655737704,0.5777777777777777,0.45714285714285713,0.372,0.61,0.3448275862068965,110000,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,29.5,0,0.6834481361426256,0.7397540983606559,0.3333333333333333,0.39999999999999997,0.7,0.21999999999999997,0.5402298850574713,30000,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6,29.5,0,0.6181118314424635,0.5061475409836066,0.7333333333333332,0.3285714285714285,0.836,0.48,0.2241379310344828,110000,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
7,21.0,0,0.14910858995137763,0.2581967213114754,0.5111111111111111,0.9857142857142858,0.688,0.68,0.017241379310344827,110000,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
8,59.5,1,0.32840356564019446,0.5368852459016394,0.4888888888888889,0.12857142857142856,0.512,0.32,0.1724137931034483,50000,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
9,49.5,0,0.22082658022690438,0.07991803278688525,0.1111111111111111,0.3142857142857143,0.46,0.08,0.8850574712643677,30000,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,49.5,1,0.9764991896272285,0.8422131147540984,0.39999999999999997,0.4857142857142857,0.644,0.5800000000000001,0.8735632183908045,110000,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,21.0,0,0.3135129659643436,0.8504098360655739,0.24444444444444446,0.47142857142857136,0.68,0.95,0.3908045977011494,10000,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
12,70.0,1,0.6731158833063209,0.7254098360655739,0.022222222222222227,0.47142857142857136,0.56,0.49,0.396551724137931,30000,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,59.5,1,0.9907820097244733,0.5204918032786886,0.35555555555555557,0.17142857142857143,0.624,0.9099999999999999,0.022988505747126436,70000,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
14,29.5,0,0.59572528363047,0.29098360655737704,0.08888888888888888,0.14285714285714285,0.096,0.8400000000000001,0.6551724137931034,30000,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
15,29.5,0,0.605854943273906,0.4897540983606557,0.26666666666666666,0.2571428571428571,0.952,0.15,0.5172413793103448,30000,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
16,29.5,0,0.5872163695299838,0.4651639344262295,0.08888888888888888,0.9142857142857144,0.792,0.71,0.040229885057471264,110000,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17,29.5,1,0.9750810372771475,0.6967213114754099,0.1111111111111111,0.11428571428571427,0.372,0.43999999999999995,0.045977011494252866,50000,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
18,39.5,0,0.8523095623987034,0.4036885245901639,0.19999999999999996,0.7571428571428571,0.564,0.25,0.08045977011494254,30000,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
19,39.5,0,0.8519043760129659,0.13114754098360656,1.0,0.7571428571428571,0.048,0.6900000000000001,0.5977011494252873,110000,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
20,29.5,0,0.9972649918962722,0.7930327868852459,0.0,0.8142857142857143,0.04,0.74,0.03448275862068966,70000,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
21,49.5,0,0.8564627228525121,0.020491803278688527,0.6444444444444444,0.8857142857142857,0.252,0.18,0.40804597701149425,50000,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,21.0,0,0.926256077795786,0.21926229508196723,0.13333333333333336,0.2571428571428571,0.688,0.9099999999999999,0.6551724137931034,90000,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
23,29.5,0,0.45816450567260936,0.05122950819672132,0.911111111111111,0.2285714285714286,0.852,0.75,0.08045977011494254,110000,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,29.5,1,0.6643030794165316,0.9098360655737706,0.08888888888888888,0.47142857142857136,0.56,0.9299999999999999,0.9425287356321839,110000,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
25,39.5,0,0.7717787682333873,0.8606557377049181,0.9555555555555555,0.2714285714285714,0.532,0.32,0.47126436781609193,110000,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
26,49.5,0,0.2808954619124797,0.3073770491803279,0.6000000000000001,0.7285714285714284,0.404,0.94,0.21839080459770116,90000,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,29.5,0,0.5745542949756888,0.45081967213114754,0.0,0.6428571428571428,0.16,0.37,0.764367816091954,30000,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28,39.5,1,0.31634927066450563,0.6967213114754099,0.8888888888888888,0.8714285714285714,0.12,0.05,0.3218390804597701,10000,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
29,39.5,1,0.8782414910858994,0.4836065573770492,0.5111111111111111,0.08571428571428572,0.76,0.76,0.5229885057471264,70000,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
30,21.0,0,0.13695299837925445,0.4836065573770492,0.26666666666666666,0.9142857142857144,0.928,0.7000000000000001,0.45977011494252873,30000,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,49.5,1,0.919773095623987,0.44672131147540983,0.7777777777777777,0.3,0.46,0.6,0.8390804597701149,10000,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,29.5,1,0.39029578606158827,0.9959016393442623,0.9333333333333333,0.4857142857142857,0.66,0.49,0.7241379310344828,30000,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33,21.0,0,0.8238452188006482,0.8668032786885247,0.4888888888888889,0.4428571428571428,0.916,0.03,0.9080459770114943,110000,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
34,59.5,1,0.09349675850891409,0.9426229508196722,0.31111111111111106,0.7571428571428571,0.092,0.62,0.42528735632183906,50000,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,70.0,0,0.21971231766612642,0.3073770491803279,0.7999999999999998,0.4142857142857142,0.772,0.42000000000000004,0.44827586206896547,70000,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,59.5,1,0.5576377633711507,0.25,0.6888888888888889,0.9428571428571428,0.616,0.56,0.05172413793103448,70000,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
